Feature,Importance(%)
day_of_week,22.4
uvindex,16.5
humidity,9.7
windspeed,8.3
snowdepth,7.6
solarradiation,7.5
winddir,5.4
temp,4.6
visibility,4.3
cloudcover,3.3
sealevelpressure,3.2
moonphase,2.0
dew,1.7
"conditions_Rain, Overcast",1.0
conditions_Overcast,0.9
icon_cloudy,0.6
precip,0.4
conditions_Partially cloudy,0.4
conditions_Rain,0.2
"conditions_Snow, Rain, Overcast",0.0
icon_rain,0.0
icon_partly-cloudy-day,0.0
"conditions_Snow, Rain, Partially cloudy",0.0
snow,0.0
"conditions_Snow, Rain",0.0
"conditions_Rain, Partially cloudy",0.0
precipprob,0.0
preciptype_snow,0.0
"preciptype_rain,snow",0.0
icon_snow,0.0
