,date,total crashes,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,day_of_week
0,2021-01-01,0.0,3.0,-1.3,1.1,0.0,-3.2,-1.2,0.3,94.6,0.326,100,8.33,"rain,snow",0.0,0.0,26.3,14.5,348.0,1012.0,74.3,10.3,314.2,27.2,1,2021-01-01T08:15:50,2021-01-01T16:12:30,0.58,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,6
1,2021-01-02,0.0,3.0,-1.0,1.1,1.0,-5.4,-1.9,-0.1,91.8,0.681,100,12.5,"rain,snow",0.0,0.0,24.8,21.4,337.1,1016.4,64.6,11.2,146.0,12.6,2,2021-01-02T08:15:41,2021-01-02T16:13:35,0.62,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,7
2,2021-01-03,1.0,3.1,0.0,1.7,0.0,-4.5,-2.7,1.4,97.6,0.286,100,12.5,"rain,snow",0.0,0.0,37.8,26.7,30.9,1017.6,95.8,8.2,298.3,25.8,1,2021-01-03T08:15:30,2021-01-03T16:14:43,0.65,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,8
3,2021-01-04,3.0,3.3,1.0,2.2,-1.9,-5.0,-3.2,0.7,90.5,0.0,0,0.0,,0.0,0.0,54.4,31.3,33.6,1020.3,88.8,12.4,363.7,31.6,1,2021-01-04T08:15:15,2021-01-04T16:15:53,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,2
4,2021-01-05,3.0,3.1,0.1,1.4,-2.6,-5.3,-3.9,-0.5,87.4,0.0,0,0.0,,0.0,0.0,43.6,31.7,24.8,1021.6,81.2,14.2,136.5,11.8,2,2021-01-05T08:14:56,2021-01-05T16:17:06,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,3
5,2021-01-06,2.0,2.3,-1.0,1.0,-1.0,-5.8,-3.5,-0.1,92.3,0.0,0,0.0,,0.0,0.0,38.9,25.9,28.0,1020.8,86.5,11.8,72.0,6.2,1,2021-01-06T08:14:35,2021-01-06T16:18:22,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,4
6,2021-01-07,2.0,1.4,-3.0,-0.9,0.4,-6.1,-2.6,-1.3,97.1,0.0,0,0.0,,0.0,0.0,14.4,13.5,274.8,1019.4,70.4,6.2,86.8,7.5,1,2021-01-07T08:14:10,2021-01-07T16:19:39,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,5
7,2021-01-08,2.0,1.1,-0.3,0.8,0.8,-4.4,-2.1,0.3,97.0,0.247,100,8.33,"rain,snow",0.0,0.0,24.5,17.6,34.9,1018.5,93.9,7.3,61.4,5.4,0,2021-01-08T08:13:42,2021-01-08T16:20:59,0.83,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,6
8,2021-01-09,2.0,0.1,-1.8,-0.7,0.1,-6.6,-3.2,-0.8,99.1,0.0,0,0.0,,0.0,0.1,21.2,16.6,48.5,1026.5,99.8,2.2,63.0,5.5,1,2021-01-09T08:13:11,2021-01-09T16:22:21,0.87,Overcast,Cloudy skies throughout the day.,cloudy,7
9,2021-01-10,2.0,4.9,-1.1,1.7,2.2,-4.0,-0.8,1.3,96.7,0.029,100,4.17,rain,0.0,0.0,16.2,14.1,258.8,1026.5,90.2,7.9,332.3,28.8,2,2021-01-10T08:12:36,2021-01-10T16:23:45,0.9,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,8
