,first_road_class,road_type,speed_limit,junction_detail,light_conditions,weather_conditions,road_surface_conditions,preciptype,conditions,icon
0,6,6,20,0,1,9,2,None,Partially cloudy,partly-cloudy-day
1,6,6,20,0,1,4,1,None,Partially cloudy,partly-cloudy-day
2,4,6,30,3,4,9,2,None,Partially cloudy,partly-cloudy-day
3,4,6,20,0,1,1,1,None,Partially cloudy,partly-cloudy-day
4,6,6,20,0,4,7,1,None,Partially cloudy,partly-cloudy-day
5,3,3,40,0,4,1,2,None,Overcast,cloudy
6,6,2,20,3,1,1,1,rain,"Rain, Overcast",rain
7,6,6,20,3,4,1,2,None,Partially cloudy,partly-cloudy-day
8,3,6,30,3,1,1,2,None,Overcast,cloudy
9,4,1,20,2,1,9,2,rain,"Rain, Overcast",rain
10,6,6,30,0,1,1,1,"rain,snow","Snow, Rain, Overcast",rain
11,3,6,30,0,1,9,1,"rain,snow","Snow, Rain, Partially cloudy",rain
12,3,2,20,6,1,1,1,"rain,snow","Snow, Rain, Partially cloudy",rain
13,6,2,20,0,1,1,2,None,Partially cloudy,partly-cloudy-day
14,6,2,20,0,4,1,1,None,Partially cloudy,partly-cloudy-day
15,3,6,20,3,7,2,2,rain,"Rain, Overcast",rain
16,3,1,30,1,4,1,1,rain,"Rain, Overcast",rain
17,4,6,20,3,4,1,1,"rain,snow","Snow, Rain, Overcast",rain
18,6,6,20,0,4,9,1,rain,"Rain, Overcast",rain
19,3,6,40,0,1,2,2,rain,"Rain, Partially cloudy",rain
20,6,6,20,3,4,9,1,rain,"Rain, Partially cloudy",rain
21,6,6,20,3,4,1,1,rain,"Rain, Partially cloudy",rain
22,3,3,30,6,1,2,2,"rain,snow","Snow, Rain, Partially cloudy",rain
23,3,1,30,1,1,2,2,rain,"Rain, Overcast",rain
24,3,6,30,3,5,1,1,"rain,snow","Snow, Rain, Partially cloudy",rain
25,6,6,20,0,1,1,1,rain,"Rain, Overcast",rain
26,4,6,20,3,7,9,2,"rain,snow","Snow, Rain, Partially cloudy",rain
27,6,6,20,3,4,1,1,rain,"Rain, Overcast",rain
28,6,1,20,2,1,1,1,rain,"Rain, Overcast",rain
29,6,6,20,3,1,4,1,"rain,snow","Snow, Rain, Partially cloudy",rain
30,3,3,20,0,4,1,1,"rain,snow","Snow, Rain, Partially cloudy",rain
31,6,6,20,0,4,1,1,rain,"Rain, Overcast",rain
32,6,6,20,3,1,1,1,"rain,snow","Snow, Rain, Overcast",rain
33,6,6,20,0,1,1,1,"rain,snow","Snow, Rain, Overcast",rain
34,6,6,20,6,4,1,1,rain,"Rain, Partially cloudy",rain
35,3,6,30,0,4,1,2,rain,"Rain, Partially cloudy",rain
36,3,6,20,0,1,1,1,rain,"Rain, Partially cloudy",rain
37,6,6,20,3,1,1,1,rain,"Rain, Partially cloudy",rain
38,6,6,30,3,1,1,1,rain,"Rain, Partially cloudy",rain
39,3,6,20,0,1,1,1,rain,"Rain, Partially cloudy",rain
40,4,6,30,0,7,1,1,rain,"Rain, Partially cloudy",rain
41,4,6,30,3,4,1,1,rain,"Rain, Partially cloudy",rain
42,4,6,30,3,1,2,2,None,Partially cloudy,partly-cloudy-day
43,3,2,30,6,1,1,1,rain,"Rain, Overcast",rain
44,3,6,30,3,1,9,1,rain,"Rain, Overcast",rain
45,6,6,20,3,1,1,1,rain,"Rain, Overcast",rain
46,6,6,20,0,1,1,1,rain,"Rain, Overcast",rain
47,6,6,30,3,1,1,1,None,Partially cloudy,partly-cloudy-day
48,3,6,30,3,4,1,1,None,Partially cloudy,partly-cloudy-day
49,3,3,30,1,1,1,1,None,Partially cloudy,partly-cloudy-day
50,3,6,20,3,7,1,1,None,Partially cloudy,partly-cloudy-day
51,6,6,30,3,1,1,1,None,Partially cloudy,partly-cloudy-day
52,6,2,20,3,7,1,1,None,Partially cloudy,partly-cloudy-day
53,3,1,30,1,4,1,2,"rain,snow","Snow, Rain, Overcast",rain
54,4,6,20,6,4,1,1,None,Partially cloudy,partly-cloudy-day
55,3,6,30,3,1,1,1,None,Partially cloudy,partly-cloudy-day
56,6,6,20,0,7,1,1,rain,"Rain, Partially cloudy",rain
57,4,6,20,3,1,2,2,rain,"Rain, Partially cloudy",rain
58,4,6,20,9,1,1,1,rain,"Rain, Partially cloudy",rain
59,6,6,20,0,1,1,1,rain,"Rain, Partially cloudy",rain
60,6,6,20,0,1,1,1,rain,"Rain, Partially cloudy",rain
61,6,9,30,3,4,1,1,None,Partially cloudy,partly-cloudy-day
62,3,1,30,1,4,1,1,rain,"Rain, Partially cloudy",rain
63,6,6,20,0,4,1,1,rain,"Rain, Partially cloudy",rain
64,6,6,30,0,1,1,1,rain,"Rain, Overcast",rain
65,3,6,20,3,1,1,1,rain,"Rain, Overcast",rain
66,3,6,20,3,1,1,1,None,Overcast,cloudy
67,3,6,30,3,4,1,1,"rain,snow","Snow, Rain, Overcast",rain
68,3,6,20,0,1,1,1,None,Overcast,cloudy
69,3,3,20,0,1,1,1,None,Overcast,cloudy
70,3,1,30,1,1,1,1,"rain,snow","Snow, Rain, Overcast",rain
71,3,6,30,3,1,1,1,None,Partially cloudy,partly-cloudy-day
72,6,6,30,3,1,1,2,None,Partially cloudy,partly-cloudy-day
73,4,6,30,6,4,1,1,rain,"Rain, Overcast",rain
74,6,6,20,0,5,4,2,rain,"Rain, Overcast",rain
75,4,1,30,1,1,1,1,None,Partially cloudy,partly-cloudy-day
76,4,1,30,1,1,1,1,rain,"Rain, Partially cloudy",rain
77,3,6,20,3,1,1,1,rain,"Rain, Overcast",rain
78,3,6,20,0,4,1,1,rain,"Rain, Partially cloudy",rain
79,4,1,30,1,4,2,2,rain,"Rain, Overcast",rain
80,3,6,20,3,5,2,2,rain,"Rain, Overcast",rain
81,6,6,20,0,1,1,1,rain,"Rain, Partially cloudy",rain
82,3,6,20,3,1,1,2,rain,"Rain, Partially cloudy",rain
83,6,6,30,0,1,1,1,rain,"Rain, Partially cloudy",rain
84,4,6,20,0,1,1,1,rain,"Rain, Partially cloudy",rain
85,6,6,20,3,1,1,1,rain,"Rain, Partially cloudy",rain
86,6,9,20,0,1,1,2,rain,"Rain, Partially cloudy",rain
87,6,6,30,3,1,1,1,rain,"Rain, Partially cloudy",rain
88,6,6,20,1,4,1,1,rain,"Rain, Partially cloudy",rain
89,3,3,30,0,7,2,2,rain,"Rain, Partially cloudy",rain
90,3,6,20,0,4,2,2,rain,"Rain, Partially cloudy",rain
91,6,6,20,0,4,3,4,rain,"Rain, Partially cloudy",rain
92,3,1,30,1,1,2,2,rain,"Rain, Overcast",rain
93,4,6,20,0,4,1,1,"rain,snow","Snow, Rain, Partially cloudy",rain
94,3,1,30,1,1,1,1,"rain,snow","Snow, Rain, Partially cloudy",rain
95,6,1,30,1,1,1,1,rain,"Rain, Partially cloudy",rain
96,3,6,30,3,7,4,1,rain,"Rain, Overcast",rain
97,3,1,40,1,1,2,2,"rain,snow","Snow, Rain, Partially cloudy",rain
98,6,6,30,8,1,1,1,rain,"Rain, Overcast",rain
99,4,6,30,3,1,1,1,rain,"Rain, Partially cloudy",rain
100,6,6,30,1,4,1,1,None,Partially cloudy,partly-cloudy-day
101,6,6,20,3,5,1,1,None,Overcast,cloudy
